名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
島田農免峠,島田,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,28,135.2509753 ,33.7951363 ,,,,,,,,印南町大字島田,
県道沿い畑,山口  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,37,135.2229130 ,33.8365620 ,,,,,,,,印南町大字山口,
西山口高速側道,山口  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,35,135.2208420 ,33.8363440 ,,,,,,,,印南町大字山口,
仙光寺,山口  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,25,135.2251340 ,33.8307830 ,,,,,,,,印南町大字山口,
八幡神社,山口  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,22,135.2211050 ,33.8316920 ,,,,,,,,印南町大字山口,
印南発電所上,山口  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,25,135.2215180 ,33.8255330 ,,,,,,,,印南町大字山口,
印南インターチェンジ,地方  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,23,135.2215180 ,33.8244730 ,,,,,,,,印南町大字山口,
かえるの里,宇杉 山口 ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,25,135.2225800 ,33.8224320 ,,,,,,,,印南町大字山口,
宇杉ヶ丘,宇杉,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,25,135.2261201 ,33.8172599 ,,,,,,,,印南町大字印南,
東光寺奥,宇杉 本郷 ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,30,135.2237020 ,33.8131840 ,,,,,,,,印南町大字印南,
庚申坂付近,光川 本郷 ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,16,135.2203270 ,33.8101540 ,,,,,,,,印南町大字印南,
光川神社下,光川  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,30,135.2234440 ,33.8047950 ,,,,,,,,印南町大字印南,
光川町道沿い空き地,光川  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,22,135.2226820 ,33.8103800 ,,,,,,,,印南町大字印南,
光川ＪＲトンネル奥,光川  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,26,135.2249940 ,33.8118330 ,,,,,,,,印南町大字印南,
印南土地改良区事務所前,地方 浜 ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,35,135.2103600 ,33.8148820 ,,,,,,,,印南町大字印南,
印南浄水場,地方  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,25,135.2179400 ,33.8234340 ,,,,,,,,印南町大字印南,
片見谷入口付近,地方  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,20,135.2159180 ,33.8207830 ,,,,,,,,印南町大字印南,
島田運動場,島田  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,18,135.2425760 ,33.7931980 ,,,,,,,,印南町大字島田1393,
印南大権現周辺,本郷  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,25,135.2209640 ,33.8123380 ,,,,,,,,印南町大字印南,
殿平,光川 本郷 ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,22,135.2202100 ,33.8110600 ,,,,,,,,印南町大字印南,
叶神社付近,浜  ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,22,135.2112833 ,33.8135667 ,,,,,,,,印南町大字印南,
上野山,地方 浜 ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,23,135.2171730 ,33.8158740 ,,,,,,,,印南町大字印南,
要害山,地方 浜 ,,,,印南町,避難場所,津波,,,☆☆☆,,,,,,16.4,135.2177410 ,33.8152300 ,,,,,,,,印南町大字印南,
津波避難タワー,浜,,,,印南町,避難場所,津波,津波浸水予測地域,,☆,,,,,,4.4,135.2187930 ,33.8132700 ,,,,,,,,印南町大字印南,
切目川防災センター,古井 美里 ,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,,衛星携帯電話、毛布,48,135.2647985 ,33.8545233 ,,,,,,53,,印南町大字古井623,
切目小学校,元村 上道 ,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,,衛星携帯電話,29,135.2354477 ,33.8023551 ,,,,,,120,,印南町大字西ノ地536,
稲原防災センター,印南原  立石  明神川,,,,印南町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,土砂災害予測地域　浸水予測地域　,☆☆,☆☆☆,耐震　,有,○,,衛星携帯電話、毛布,51,135.2327195 ,33.8601732 ,,,,,,45,,印南町大字印南原4850,
