"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"岡高齢者憩の家","岡","","上富田町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆","","耐震　","","","","",38,135.4421528,33.72718611,"","","",190,0,60,60,"上富田町岡1291-1","",""
"はるかぜ保育所","岩田","","上富田町","避難所を兼ねる避難場所","地震　大規模な火事","浸水予測地域　","☆（注）","","耐震　","","","","",23,135.44137,33.7047197,"","","",1419,0,550,550,"上富田町岩田1674-1","",""
"あっそ児童館","朝来","","上富田町","避難所を兼ねる避難場所","地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆（注）","","耐震　","","","","",27,135.416948,33.703396,"","","",306,0,110,110,"上富田町朝来2284-0","",""
"NPO法人どんぐりはうす","市ノ瀬","","上富田町","避難所を兼ねる避難場所","大規模な火事","土砂災害予測地域　浸水予測地域　","☆（注）","","","","","","",33,135.4674398,33.7134518,"","","",700,0,230,230,"上富田町市ノ瀬1251-0","",""
"上富田福祉センター","朝来  岩崎  南紀の台 生馬 岩田 岡 市ノ瀬 下鮎川","","上富田町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","浸水予測地域　","☆☆","","耐震　","","","","",20,135.4301708,33.6964363,"","","",1236,0,200,200,"上富田町朝来755-1","",""
"市ノ瀬高齢者憩の家","市ノ瀬 下鮎川","","上富田町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆","","耐震　","","","","",32,135.4626124,33.7153269,"","","",169,0,50,50,"上富田町市ノ瀬2504-23","",""
"市ノ瀬小学校","市ノ瀬 下鮎川","","上富田町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆","","耐震　","","","","",29,135.462221,33.7126631,"","","",797,6000,304,304,"上富田町市ノ瀬604-0","",""
"市ノ瀬体育館","市ノ瀬 下鮎川","","上富田町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　大規模な火事","浸水予測地域　","☆","","","","","","",31,135.4613403,33.7154461,"","","",519,0,170,170,"上富田町市ノ瀬2504-35","",""
"上富田町保健センター","朝来  岩崎  南紀の台 生馬 岩田 岡 市ノ瀬 下鮎川","","上富田町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","浸水予測地域　","☆☆","","耐震　","","","","",20,135.430439,33.696531,"","","",765,0,44,44,"上富田町朝来755-1","",""
"朝来コミュニティセンター","朝来","","上富田町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","浸水予測地域　","☆","","耐震　","有","○","","ブルーシート・毛布他",23,135.4205964,33.6971698,"","","",637,0,55,55,"上富田町朝来2778-1","",""
"朝来小学校","朝来  岩崎","","上富田町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆☆☆","","耐震　","","","","",44,135.4216845,33.6981216,"○","","",1680,7000,477,477,"上富田町朝来2741-0","",""
"岩崎会館","岩崎","","上富田町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆","","耐震　","","","","",17,135.4153025,33.687775,"○","","",264,0,80,80,"上富田町岩崎434-0","",""
