"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"南栄老人憩の家","湯浅","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　大規模な火事","津波浸水予測地域","☆☆☆","","","","","","",4.1,135.1793218,34.03393248,"","","",120.9,0,70,120,"湯浅町大字湯浅1033-0","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
"湯浅町民体育館","湯浅","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　津波　大規模な火事","","☆☆☆","☆","耐震　","有","○","○","簡易トイレ、投光器、救急箱、アルファ米、長期保存水",4.2,135.1816093,34.0344314,"○","","○",733,0,440,730,"湯浅町大字湯浅1546-0","2人/3.3㎡","指定緊急避難場所","指定避難所"
"湯浅小学校講堂","湯浅","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　津波　大規模な火事","","☆☆☆","☆","耐震　","有","○","","簡易トイレ、投光器、救急箱、",4,135.1814185,34.0354768,"○","","○",797.9,0,480,790,"湯浅町大字湯浅1570-0","2人/3.3㎡","指定緊急避難場所","指定避難所"
"田村出荷組合第二集荷場","田","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　津波　大規模な火事","","☆☆☆","☆☆☆","","有","○","○","",11.5,135.157102,34.0568241,"○","","○",332.9,0,200,330,"湯浅町大字田565-6","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
"田体育館","田","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　津波　大規模な火事","","☆☆☆","","耐震　","","","","",1.5,135.1515248,34.054988,"","","",590.9,0,350,570,"湯浅町大字田369-5","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
"山田小学校体育館","山田","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　大規模な火事","","☆☆☆","","耐震　","有","○","○","毛布、簡易トイレ、投光器、救急箱、浄水器、アルファ米、長期保存水",50,135.203407,34.0278847,"○","","○",385,0,230,380,"湯浅町大字山田1920-0","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
"山田公民館","山田","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　大規模な火事","","☆☆☆","","耐震　","有","○","○","飲料水、簡易トイレ、投光器、救急箱、アルファ米",49.8,135.206513,34.0284985,"○","","○",189,0,110,190,"湯浅町大字山田1334-2","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
"県立耐久高等学校体育館","湯浅","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　大規模な火事","","☆☆☆","","耐震　","有","○","","簡易トイレ、投光器、救急箱、浄水器",7.4,135.184423,34.0362056,"○","","○",1154,0,690,1150,"湯浅町大字湯浅1985-0","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
"吉川公民館","吉川","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　大規模な火事","","☆☆☆","","耐震　","有","○","○","簡易トイレ、投光器、救急箱、アルファ米、長期保存水",18.3,135.1826646,34.0490403,"○","","○",178.6,0,100,180,"湯浅町大字吉川269-0","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
"横田文化会館","湯浅 栖原 吉川","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　大規模な火事","","☆☆☆","","耐震　","有","○","○","簡易トイレ、投光器、救急箱、アルファ米、長期保存水",8.9,135.1932881,34.0429168,"○","","○",146.7,0,80,140,"湯浅町大字栖原6-0","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
