"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"明洋団地方面","芳養町  明洋","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",18.8,135.360646,33.7393808,"","","",0,0,0,0,"田辺市明洋１丁目8-1","",""
"はやざと霊苑","芳養町、芳養松原","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",32.9,135.34888,33.7515079,"","","",0,0,0,0,"田辺市芳養町989-5","",""
"芳養団地方面","芳養町  元町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",30.4,135.360848,33.7524727,"","","",0,0,0,0,"田辺市芳養町2881-0","",""
"硲池付近","芳養町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",30.7,135.35445,33.7604761,"","","",0,0,0,0,"田辺市芳養町2134-0","",""
"井原隧道北西高台","芳養町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",20,135.343478,33.7481283,"","","",0,0,0,0,"田辺市芳養町220-1","",""
"旧井原会館裏高台","芳養松原 芳養町","北側の高台","田辺市","避難場所","津波　","","","☆☆☆","","","","","",25,135.345707,33.7474961,"","","",0,0,0,0,"田辺市芳養町862-0","",""
"人造坂","芳養町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",24.3,135.345845,33.7482016,"","","",0,0,0,0,"田辺市芳養町889-0","",""
"芳養才治谷付近","芳養松原、芳養町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",37,135.348519,33.7503208,"","","",0,0,0,0,"田辺市芳養町989-4","",""
"白雲稲荷大明神","  芳養松原、芳養町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",15,135.353025,33.751025,"","","",0,0,0,0,"田辺市芳養町1476-2","",""
"バークミン工場裏高台","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",25,135.398073,33.7095731,"","","",0,0,0,0,"田辺市新庄町2794-0","",""
