"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"かぐのみ苑周辺","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",34.7,135.157338,34.133827,"","","",0,0,0,0,"海南市下津町　丸田1111-1","","",""
"万葉歌碑周辺","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",14.9,135.134497,34.12773,"","","",0,0,0,0,"海南市下津町　大崎2-0","","",""
"旧街道","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",10,135.154476,34.119197,"","","",0,0,0,0,"海南市下津町　方867-0","","",""
"小島谷農道周辺","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",14.6,135.151798,34.115689,"","","",0,0,0,0,"海南市下津町　方976-0","","",""
"宮ノ谷地区裏山周辺","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",20,135.149989,34.118018,"","","",0,0,0,0,"海南市下津町　方1092-0","","",""
"硯地区裏山周辺","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",15,135.145907,34.122623,"","","",0,0,0,0,"海南市下津町　方1430-0","","",""
"方北地区高台②","大崎","","海南市","避難場所","津波　","","","☆☆☆","","","","","",15,135.149773,34.124809,"","","",0,0,0,0,"海南市下津町　方793-0","","",""
"大正池周辺","下津","","海南市","避難場所","津波　","","","☆☆☆","","","","","",18,135.137522,34.106661,"","","",0,0,0,0,"海南市下津町　下津1831-0","","",""
"外瀬山周辺","下津","","海南市","避難場所","津波　","","","☆☆☆","","","","","",26,135.140119,34.108782,"","","",0,0,0,0,"海南市下津町　下津1514-0","","",""
"市道硯楠戸線周辺","下津","","海南市","避難場所","津波　","","","☆☆☆","","","","","",16.1,135.144571,34.118768,"","","",0,0,0,0,"海南市下津町　方1334-0","","",""
"楠戸山中腹周辺","下津","","海南市","避難場所","津波　","","","☆☆☆","","","","","",14,135.147243,34.113017,"","","",0,0,0,0,"海南市下津町　下津119-0","","",""
"市道赤松楠戸線周辺","大崎 下津","","海南市","避難場所","津波　","","","☆☆☆","","","","","",36.6,135.149018,34.110752,"","","",0,0,0,0,"海南市下津町　下津341-0","","",""
