名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
中田集会所,中田,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　,☆,,耐震　,,,,,241,135.3216444 ,34.1225905 ,,,,105,,22,,紀美野町中田331-1,
小川小学校体育館,小川地区,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,131,135.3240521 ,34.1319475 ,,,,405,,123,,紀美野町中田4,
小川地区公民館,小川地区,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,131,135.3242265 ,34.1314437 ,,,,363,,42,,紀美野町中田23,
福井集会所,福井,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　,☆,,耐震　,,,,,75,135.3270745 ,34.1472634 ,,,,184,,35,,紀美野町福井1313-1,
吉野集会所,吉野,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　,☆,,耐震　,,,,,86,135.3291820 ,34.1583865 ,,,,214,,49,,紀美野町吉野320-3,
やすらぎ園,下佐々,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,85,135.3113568 ,34.1519105 ,,,,7590,,150,,紀美野町下佐々1408-7,
総合福祉センター,下佐々  動木,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,85,135.3110010 ,34.1521517 ,,,,3230,,400,,紀美野町下佐々1408-4,
新生町集会所,下佐々,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,80,135.3099208 ,34.1561045 ,,,,81,,26,,紀美野町下佐々803-1,
中央児童館,下佐々,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,80,135.3118895 ,34.1578349 ,,,,207,,28,,紀美野町下佐々173,
下佐々コミュニティセンター,下佐々,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,78,135.3148238 ,34.1565060 ,,,,319,,50,,紀美野町下佐々595-1,
河南集会所(海南鋼管),下佐々,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,63,135.3086260 ,34.1586408 ,,,,129,,24,,紀美野町下佐々1817,
野上中学校体育館,下佐々　吉野　松瀬,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,85,135.3145630 ,34.1544282 ,,,,1626,,393,,紀美野町下佐々940,
野上小学校体育館,動木  柴目,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆,,耐震　,,,,,70,135.3069927 ,34.1638605 ,,,,405,,192,,紀美野町動木1445,
動木集会所,動木,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,128,135.3066591 ,34.1652120 ,,,,192,,34,,紀美野町動木227-1,
スポーツ公園体育館,小畑　動木　柴目,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,73,135.3080218 ,34.1752963 ,,,,996,,270,,紀美野町小畑853-2,
小畑集会所,小畑,,,,紀美野町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,63,135.2938702 ,34.1633792 ,,,,218,,40,,紀美野町小畑107,
