名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
覚性寺,吹井,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　地震　津波,土砂災害予測地域　,☆（注）,☆☆☆,,,,,,10.6,135.1001405 ,33.9693303 ,,,,76,,38,,由良町大字吹井391,
横浜会館,横浜,,,,由良町,避難所を兼ねる避難場所,洪水　高潮　地震　津波,津波浸水予測地域,☆☆☆,,,,,,,2.9,135.1202738 ,33.9603487 ,,,,97,,48,,由良町大字里202-2,
衣奈小学校,衣奈,,,,由良町,避難所を兼ねる避難場所,高潮　地震　津波,土砂災害予測地域　津波浸水予測地域,☆,☆,耐震　,,,,,,135.1069564 ,33.9875183 ,,,,867,,433,,由良町大字衣奈230,宅盤4.2ｍ2階9.2ｍ3階12.8ｍ
阿戸葦原会会場,阿戸,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,高潮　地震　津波,津波浸水予測地域,☆,,,,,,,3.4,135.1145405 ,33.9555289 ,,,,33,,16,,由良町大字阿戸366,
阿戸コミュニティセンター,阿戸,,,,由良町,避難所を兼ねる避難場所,高潮　地震　津波,津波浸水予測地域,☆☆☆,,耐震　,,,,,2.3,135.1157826 ,33.9567031 ,,,,175,,87,,由良町大字阿戸687-8,
ゆらこども園,畑,,,,由良町,避難所を兼ねる避難場所,地震　津波,土砂災害予測地域　,☆☆,☆☆☆,耐震　,,,,,39.2,135.1450000 ,33.9792000 ,,,,835,,417,,由良町大字畑62-3,
白崎会館,黒田,,,,由良町,避難所を兼ねる避難場所,地震　津波,,☆☆☆,☆☆,耐震　,,,,資機材,11.4,135.1090215 ,33.9763107 ,,,,154,,77,,由良町大字衣奈910-2,
旧白崎保育所,吹井 柳原 糸谷,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,高潮　地震　津波,津波浸水予測地域,☆,,,,,,,3.2,135.1015638 ,33.9674111 ,,,,229,,114,,由良町大字吹井969-3,
旧中央保育所,里,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,洪水　地震　津波,土砂災害予測地域　津波浸水予測地域,,☆,,,,,,7.4,135.1258480 ,33.9642270 ,,,,404,,202,,由良町大字里759,
旧衣奈保育所,衣奈,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,地震　津波,,☆☆☆,☆☆☆,,,,,,10.2,135.1104521 ,33.9852923 ,,,,166,,83,,由良町大字衣奈685,
由良みのり園,,,,,由良町,福祉避難所,,,,,,,,,,,135.1106470 ,33.9701734 ,,,,,,,,由良町大字吹井949,
