名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
大阪殿,堀切  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.4965720 ,33.5579660 ,,,,,,,,すさみ町周参見,
個人宅付近,堀切  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.4962450 ,33.5572570 ,,,,,,,,すさみ町周参見,
天理教紀周文教会,堀切  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.4959830 ,33.5569440 ,,,,,,,,すさみ町周参見5009-1,
個人宅付近裏山,堀切  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.4956210 ,33.5569730 ,,,,,,,,すさみ町周参見,
金比羅宮,防地  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,23,135.5019160 ,33.5582740 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,防地 田中 ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,15,135.5014150 ,33.5567520 ,,,,,,,,すさみ町周参見,
個人宅付近,里野  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,22,135.6254950 ,33.5036280 ,,,,,,,,すさみ町里野,
里野海水浴場南国道４２号線,里野  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.6330750 ,33.5085550 ,,,,,,,,すさみ町里野,
城の平,江住  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,30,135.6059270 ,33.5119340 ,,,,,,,,すさみ町江住,
春日神社,江住  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,24,135.6036070 ,33.5110550 ,,,,,,,,すさみ町江住,
個人宅付近裏山,江住  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,9,135.6036510 ,33.5130560 ,,,,,,,,すさみ町江住,
小倉酒店付近裏山,江住  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,10,135.6056280 ,33.5115090 ,,,,,,,,すさみ町江住,
個人宅付近,江住  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,33,135.6095080 ,33.5096300 ,,,,,,,,すさみ町里野,
個人宅付近裏山,江住  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,9,135.6065290 ,33.5107350 ,,,,,,,,すさみ町江住,
童謡公園,江須之川  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,26,135.5884400 ,33.5050220 ,,,,,,,,すさみ町江住,
個人宅付近高台,江須之川  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,21,135.5891400 ,33.5057100 ,,,,,,,,すさみ町江住,
個人宅付近国道４２号線,江須之川  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,22,135.5903420 ,33.5082930 ,,,,,,,,すさみ町江住,
個人宅付近高台,江須之川  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,12,135.5887630 ,33.5097470 ,,,,,,,,すさみ町江住,
個人宅付近裏山,江須之川  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,8,135.5899780 ,33.5082340 ,,,,,,,,すさみ町江住,
個人宅付近国道４２号線,江須之川  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,21,135.5913540 ,33.5085110 ,,,,,,,,すさみ町江住,
個人宅付近国道４２号線,江須之川  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.5943550 ,33.5077110 ,,,,,,,,すさみ町江住,
楠堂谷,江須之川  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,24,135.5959460 ,33.5083860 ,,,,,,,,すさみ町江住,
町道江須之川西津裏線,江須之川  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.5972200 ,33.5075320 ,,,,,,,,すさみ町江住,
個人宅付近裏山,見老津  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,15,135.5740360 ,33.5168100 ,,,,,,,,すさみ町見老津,
個人宅付近山辺,口和深  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,10,135.5185020 ,33.5268730 ,,,,,,,,すさみ町口和深,
個人宅付近高台,口和深  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,7,135.5182640 ,33.5294100 ,,,,,,,,すさみ町口和深,
個人宅付近裏山,口和深  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,7,135.5162240 ,33.5289070 ,,,,,,,,すさみ町口和深,
町道西浜和深川線,口和深  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.5143230 ,33.5343290 ,,,,,,,,すさみ町口和深,
周参見中学校裏山,防地 田中  石橋 ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.5008840 ,33.5546430 ,,,,,,,,すさみ町周参見,
藤原谷,田中  石橋  本城,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,16,135.5027586 ,33.5517448 ,,,,,,,,すさみ町周参見,
王子橋北,本城  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆,,,,,,15,135.4953910 ,33.5526090 ,,,,,,,,すさみ町周参見,
串の戸（旧君嶋石油前の山）,下地一  下地二 ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.4953544 ,33.5431921 ,,,,,,,,すさみ町周参見,
観音谷の高台,堀地 下地一  下地二,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,34,135.4982311 ,33.5474395 ,,,,,,,,すさみ町周参見,
大日山,山崎  ,,,最終集合場所,すさみ町,避難場所,津波,,,☆☆☆,,,,,,56,135.4944980 ,33.5547300 ,,,,,,,,すさみ町周参見,
大日山配水池昇り道,山崎  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,15,135.4956470 ,33.5558460 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,山崎  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,6,135.4939830 ,33.5549520 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,山崎  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,6,135.4939550 ,33.5547510 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,山崎  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,10,135.4935580 ,33.5540670 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,山崎  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,14,135.4937880 ,33.5538390 ,,,,,,,,すさみ町周参見,
王子神社裏山,平松 山崎 ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.4946780 ,33.5530210 ,,,,,,,,すさみ町周参見,
きのくに林産,太間地  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,14,135.4936700 ,33.5629680 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,太間地  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,14,135.4914120 ,33.5585770 ,,,,,,,,すさみ町周参見,
太間地集会所付近裏山,太間地  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,7,135.4906620 ,33.5571070 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,太間地  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.4902910 ,33.5561410 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,太間地  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.4900580 ,33.5556810 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,太間地  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,12,135.4898430 ,33.5550550 ,,,,,,,,すさみ町周参見,
