名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
県立粉河高等学校（体育館）,地区を限定しない,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,57,135.4076160 ,34.2743528 ,,,,1913,,1040,,紀の川市粉河4632,
県立高等看護学院（体育館）,地区を限定しない,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,83,135.4404470 ,34.2808683 ,,,,2000,,970,,紀の川市西野山505-1,
県立貴志川高等学校（体育館）,地区を限定しない,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,46,135.3054830 ,34.2172988 ,,,,1430,,780,,紀の川市貴志川町　長原400,
蛍の里・旧野田原分校体育館,銚子ノ口  野田原（上・下）  脇谷,,,,紀の川市,避難所を兼ねる避難場所,洪水　高潮　内水氾濫　地震　津波,土砂災害予測地域　,☆,,耐震　,有,○,○,組立式仮設トイレ、簡易トイレ、毛布、アルファ米、パン、保存水等,178,135.3839930 ,34.1948437 ,,,,668,,310,,紀の川市桃山町　野田原639,
粉河体育館・粉河格技場,葵町 石北町 上ノ段 鍛冶町 北町 蔵之町 栄町 新町 寺長 中町 根来町 這上町 橋詰 東町 本町 松ヶ枝町 西の窪 中ノ才 秋葉台 猪垣 東毛 中津川 中山 藤井 藤井新町,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,有,○,,組立式仮設トイレ、毛布等,56,135.4029180 ,34.2729422 ,,,,2833,,1390,,紀の川市粉河1479,
貴志川保健福祉センター,前田 神戸,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,有,○,○,発電機、投光器、組立式仮設トイレ、大型かまど、毛布、アルファ米、等,28,135.3138210 ,34.2176050 ,○,○,,1490,,720,,紀の川市貴志川町　神戸331,
貴志川中学校（体育館・柔剣道場）,岸宮,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,有,○,,組立式仮設トイレ、毛布等,43,135.3098500 ,34.2178461 ,,,,1501,,800,,紀の川市貴志川町　上野山232,
貴志川生涯学習センター,尼寺  長原北 鳥居,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,44,135.3066070 ,34.2177608 ,,,,5193,,950,,紀の川市貴志川町　長原447-1,
丸栖小学校（体育館）,丸栖（東） 丸栖（西）,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,33,135.3258860 ,34.2314650 ,,,,550,,300,,紀の川市貴志川町　丸栖206,
下鞆渕集会所,下鞆渕,,,,紀の川市,避難所を兼ねる避難場所,洪水　高潮　内水氾濫　地震　津波,土砂災害予測地域　,☆,,耐震　,有,○,○,毛布、飲料水、アルファ米,380,135.4298270 ,34.2143542 ,,,,89,,50,,紀の川市下鞆渕457,
井阪文化会館,下井阪  西井阪,,,,紀の川市,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　高潮　地震　津波,浸水予測地域　,☆☆☆,,耐震　,,,,,29,135.3368550 ,34.2569438 ,,,,341,,160,,紀の川市西井阪169,
安楽川小学校（体育館）,段  最上団地  桃山団地,,,,紀の川市,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　高潮　地震　津波,浸水予測地域　,☆,,耐震　,有,○,,発電機、投光器、組立式仮設トイレ、大型かまど、毛布等,23,135.3488520 ,34.2410988 ,○,○,,762,,415,,紀の川市桃山町　市場2,
ひまわり園,,,,,紀の川市,福祉避難所,崖崩れ・土石流及び地滑り　高潮　地震　津波,浸水予測地域　,,,耐震　,,,,,26,135.3326970 ,34.2428032 ,,,,,,,5,紀の川市桃山町　調月58-3,
特別養護老人ホーム　ももの里,,,,,紀の川市,福祉避難所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,,,耐震　,,,,,90,135.3504760 ,34.2197676 ,,,,,,,90,紀の川市桃山町　最上1254-1,
特別養護老人ホーム　高陽園,,,,,紀の川市,福祉避難所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,,,耐震　,,,,,42,135.3806650 ,34.2631966 ,○,○,○,,,,5,紀の川市上田井1020,
特別養護老人ホーム　貴志川聖アンナの家,,,,,紀の川市,福祉避難所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,,,耐震　,,,,,37,135.3098450 ,34.2158537 ,,,,,,,1,紀の川市貴志川町　上野山302-1,
特別養護老人ホーム　栄寿苑,,,,,紀の川市,福祉避難所,洪水　高潮　内水氾濫　地震　津波,土砂災害予測地域　,,,耐震　,,,,,84,135.4506500 ,34.2750379 ,○,,○,,,,5,紀の川市麻生津中1279,
特別養護老人ホーム　打田皆楽園,,,,,紀の川市,福祉避難所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,,,耐震　,,,,,53,135.3472260 ,34.2644623 ,○,○,,,,,7,紀の川市畑野上259,
知的障害者入所更生施設ＰＵＲＥ皆楽,,,,,紀の川市,福祉避難所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,,,耐震　,,,,,35,135.3736160 ,34.2525310 ,,,,,,,10,紀の川市竹房314,
生活介護事業所三幸園,,,,,紀の川市,福祉避難所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,,,耐震　,有,○,○,,110,135.4143760 ,34.2832086 ,,,,,,,10,紀の川市粉河4168,
聖アンナデイサービスセンター,,,,,紀の川市,福祉避難所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,,,耐震　,,,,,37,135.3095240 ,34.2157775 ,,,,,,,3,紀の川市貴志川町　上野山302-1,
グループホーム桃の庵,,,,,紀の川市,福祉避難所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,,,耐震　,,,,,53,135.3501480 ,34.2213119 ,,,,,,,10,紀の川市桃山町　最上843-1,
グループホーム自然の郷,,,,,紀の川市,福祉避難所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,,,耐震　,,,,,87,135.3523480 ,34.2195240 ,,,,,,,10,紀の川市桃山町　最上1206-7,
グループホーム風の里,,,,,紀の川市,福祉避難所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,,,耐震　,,,,,39,135.4025100 ,34.2689017 ,,,,,,,4,紀の川市粉河951-1,
紀の川市社会福祉協議会介護サービス南事業所,,,,,紀の川市,福祉避難所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,,,耐震　,,,,,90,135.3497870 ,34.2195760 ,,,,,,,5,紀の川市桃山町　最上1253-2,
風の里デイサービスセンター,,,,,紀の川市,福祉避難所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,,,耐震　,,,,,39,135.4025100 ,34.2689017 ,,,,,,,5,紀の川市粉河951-1,
介護老人保健施設さくらの丘,,,,,紀の川市,福祉避難所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,,,耐震　,,,,,43,135.3799010 ,34.2633049 ,○,,○,,,,5,紀の川市黒土153,
丸栖コミュニティセンター,丸栖北  北山  塚本,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,,,,,39,135.3230080 ,34.2328452 ,,,,972,,264,,紀の川市貴志川町　丸栖658,
桃山ふれあいコミュニティセンター,市場,,,,紀の川市,避難所を兼ねる避難場所,崖崩れ・土石流及び地滑り　高潮　地震　津波,浸水予測地域　,☆☆☆,,耐震　,,,,,23,135.3502930 ,34.2407490 ,,,,1010,,240,,紀の川市桃山町　市場2,
那賀保健福祉センター,本町  北の町  蛭子町 錦の町 西の町 新町 大宮（北 南） 大黒（１ ２） 栄町（１ ２） 黒代 東部（北 中 南）,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,,☆☆☆,,耐震　,有,○,,発電機、投光器、組立式仮設トイレ、毛布等,56,135.4370780 ,34.2723801 ,○,○,,2583,,500,,紀の川市名手市場144-1,
打田保健福祉センター,打田駅前  東大井  西大井 北大井 田中馬場 北畑野上,,,,紀の川市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波,,☆☆☆,,耐震　,有,○,○,発電機、投光器、組立トイレ、大型かまど、毛布、アルファ米など,48,135.3626090 ,34.2692035 ,○,○,,5356,,1100,,紀の川市西大井338,
