名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
有田振興局駐車場,湯浅 栖原 青木　吉川,,,駐車場,湯浅町,避難場所,地震　津波,,,☆☆☆,耐震　,,,,,17.3,135.1940980 ,34.0396230 ,,,,,,6700,,湯浅町大字湯浅2355-1,
水道事務所,湯浅 別所,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,有,○,○,長期保存パン,17.9,135.1840880 ,34.0279420 ,,,,45.9,,40,,湯浅町大字別所331,1人/㎡
わくわく公園,湯浅 青木 別所,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,17.5,135.1876410 ,34.0318460 ,,,,,,1500,,湯浅町大字青木460,
天神山,湯浅,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,13.7,135.1841010 ,34.0333143 ,,,,,,1000,,湯浅町大字別所59-8,
妙見山,湯浅,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,21.8,135.1831830 ,34.0332202 ,,,,,,300,,湯浅町大字湯浅1375,
方津戸峠,湯浅 栖原,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,41.8,135.1840720 ,34.0457064 ,,,,,,,,湯浅町大字吉川257-2,
湯浅中学校校舎,湯浅,,,３F,湯浅町,避難場所,地震　津波,津波浸水予測地域,,☆☆,耐震　,,,,,5.7,135.1842130 ,34.0402909 ,,,,448.5,,440,,湯浅町大字湯浅1815,1人/㎡
満願寺裏山,湯浅,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,16,135.1801170 ,34.0316964 ,,,,,,500,,湯浅町大字湯浅1334,
六角堂,湯浅,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,16,135.1774500 ,34.0409827 ,,,,,,600,,湯浅町大字湯浅2563,
栖原坂,湯浅 栖原,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,16.8,135.1722630 ,34.0404749 ,,,,,,,,湯浅町大字栖原355,
ＮＴＴ西日本湯浅別館,湯浅,,,３F,湯浅町,避難場所,地震　津波,津波浸水予測地域,,☆☆,耐震　,,,,,4.6,135.1818470 ,34.0358230 ,,,,153,,150,,湯浅町大字湯浅1533-1,1人/㎡
住山マンション東,湯浅,,,３，４F,湯浅町,避難場所,地震　津波,津波浸水予測地域,,☆,,,,,,3.2,135.1729760 ,34.0352150 ,,,,,79.7,70,,湯浅町大字湯浅2800,1人/㎡
方津戸団地,湯浅 栖原,,,４，５，６，７F,湯浅町,避難場所,地震　津波,,,☆☆,耐震　,,,,,6.9,135.1822110 ,34.0433530 ,,,,,232,230,,湯浅町大字栖原182-1,1人/㎡
北栄北団地,湯浅,,,４，５F,湯浅町,避難場所,地震　津波,津波浸水予測地域,,☆,耐震　,,,,,3.7,135.1757030 ,34.0391618 ,,,,,92.7,90,,湯浅町大字湯浅2702-6,1人/㎡
雇用促進住宅,湯浅,,,３，４F,湯浅町,避難場所,地震　津波,津波浸水予測地域,,☆,耐震　,,,,,3.1,135.1720100 ,34.0363234 ,,,,,262.7,260,,湯浅町大字湯浅2917-1,1人/㎡
