名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
広公民館,南広  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,耐震　,,,,,6,135.1742200 ,34.0258970 ,,,,,,50,,広川町大字広538-1,
熊之町集会所,熊之町  ,,,,広川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,,,,,,3,135.1817780 ,34.0269520 ,,,,,,30,,広川町大字広66-2,S56.2.28完成
岩淵集会所,岩淵  ,,,,広川町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,355,135.2464831 ,33.9881170 ,,,,,,30,,広川町大字下津木1897,
河瀬集会所,河瀬,,,,広川町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,35,135.1938220 ,33.9963780 ,,,,,,30,,広川町大字河瀬172,
猿川ふれあいセンター,猿川  ,,,,広川町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,144,135.2056262 ,33.9873847 ,,,,,,30,,広川町大字下津木107,
井関農業会館,井関  ,,,,広川町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,,135.1894580 ,34.0093020 ,,,,,,30,,広川町大字井関676-1,
旭・学園集会所,学園町  旭町 ,,,,広川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆☆,,,,,,,5,135.1780950 ,34.0240970 ,,,,,,30,,広川町大字広441,S51～52完成
たちばな支援学校,天皇区  ,,,,広川町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,土砂災害予測地域　浸水予測地域　,☆,☆☆☆,耐震　,,,,,9,135.1658930 ,34.0244514 ,,,,,,450,,広川町大字和田21,
ひろの里,,,,,広川町,福祉避難所,,,,,耐震　,,,,,,135.2155235 ,33.9793603 ,,,,,,,,広川町大字下津木1105-5,
なつあけの里　ささゆり苑,,,,,広川町,福祉避難所,,,,,耐震　,,,,,,135.1952228 ,33.9717661 ,,,,,,,,広川町大字上津木1464-4,
教専寺,広（東町）,,,,広川町,避難場所,地震　,土砂災害予測地域　浸水予測地域　,☆（注）,,,,,,一時避難場所のため屋内に入らない,4,135.1794292 ,34.0277964 ,,,,,,,,広川町大字広220,
善照寺,唐尾  ,,,,広川町,避難場所,津波,土砂災害予測地域　浸水予測地域　,,☆☆,,,,,一時避難場所のため屋内に入らない,9,135.1475180 ,34.0041620 ,,,,,,,,広川町大字唐尾255,
黒潮フルーツ楽園他付近高台,西広  ,,,,広川町,避難場所,崖崩れ・土石流及び地滑り　津波,,,☆☆☆,,,,,一時避難場所のため屋内に入らない,48,135.1494730 ,34.0140590 ,,,,,,,,広川町大字西広1307,
広川ビーチ駅前広場,西広  ,,,,広川町,避難場所,洪水　津波,,☆,☆☆,,,,,一時避難場所のため屋内に入らない,35,135.1638969 ,34.0130671 ,,,,,,,,広川町大字山本969,
花王有田研究所グラウンド,山本  ,,,,広川町,避難場所,津波,,,☆☆☆,,,,,,60,135.1537750 ,34.0229960 ,,,,,,,,広川町大字山本1724-10,
広文化会館,広(東町）  ,,,,広川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,耐震　,,,,,6,135.1786560 ,34.0270360 ,,,,,,180,,広川町大字広167,
広川町若もの広場,前田  ,,,,広川町,広域避難場所,,,,,,,,,,42,135.1984360 ,33.9953640 ,,,,,,,,広川町大字前田312-1,
広川町民多目的広場,,,,,広川町,広域避難場所,,,,,,,,,,2,135.1718460 ,34.0302530 ,,,,,,,,広川町大字広1473,
