"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"梁瀬小学校","下花園地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆","","耐震化済　","有","○","○","非常食、非常飲料水、毛布",376,135.516481,34.1363856,"","","",0,0,225,490,"かつらぎ町大字花園梁瀬567-1","","指定緊急避難場所","指定避難所",
"妙寺中学校","妙寺地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","非常食、非常飲料水、毛布",67,135.520402,34.3017296,"","","",0,0,516,3072,"かつらぎ町大字妙寺581-0","","指定緊急避難場所","指定避難所",
"妙寺小学校","妙寺地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","非常食、毛布",60,135.526126,34.3029271,"","","",0,0,244,515,"かつらぎ町大字妙寺857-0","","指定緊急避難場所","指定避難所",
"遍照寺","下花園地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　大規模な火事","土砂災害予測地域　","☆（注）","","非耐震","有","○","","毛布",405,135.515512,34.1384065,"","","",0,0,60,110,"かつらぎ町大字花園梁瀬1567-0","","指定緊急避難場所","指定避難所",
"平生活改善センター","四郷第二地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　大規模な火事","土砂災害予測地域　","☆（注）","","非耐震","","","","",337,135.478032,34.336927,"","","",0,0,58,98,"かつらぎ町大字平93-0","","指定緊急避難場所","指定避難所",
"東谷ふるさとセンター","四郷第二地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆（注）","","耐震　","","","","",306,135.489533,34.3389235,"","","",0,0,103,170,"かつらぎ町大字東谷1847-0","","指定緊急避難場所","指定避難所",
"東渋田軽スポーツセンター","東渋田地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆","","耐震　","","","","",60,135.483218,34.278621,"","","",0,0,49,82,"かつらぎ町大字東渋田428-8","","指定緊急避難場所","指定避難所",
"中飯降児童館","中飯降地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","非常食、非常飲料水、毛布",74,135.531934,34.3054555,"","","",0,0,115,191,"かつらぎ町大字中飯降284-1","","指定緊急避難場所","指定避難所",
"花園保健福祉館","上花園地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　大規模な火事","土砂災害予測地域　","☆（注）","","非耐震","有","○","","毛布",550,135.570985,34.1358227,"","","",0,0,60,115,"かつらぎ町大字花園中南250-0","","指定緊急避難場所","指定避難所",
"丹生酒殿神社","三谷地区","","かつらぎ町","避難所を兼ねる避難場所","大規模な火事","土砂災害予測地域　","☆","","非耐震","","","","",62,135.520012,34.289211,"","","",0,0,93,168,"かつらぎ町大字三谷631-0","","指定緊急避難場所","指定避難所",
"滝文化保存伝習施設","四郷第一地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆（注）","","耐震　","","","","",354,135.4973471,34.32802561,"","","",0,0,71,117,"かつらぎ町大字滝872-4","","指定緊急避難場所","指定避難所",
"大谷小学校","大谷地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆","","耐震　","","","","",96,135.494208,34.301296,"","","",0,0,231,1453,"かつらぎ町大字大谷338-0","","指定緊急避難場所","指定避難所",
"大谷地域交流センター","大谷地区","","かつらぎ町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆","","耐震　","","","","",52,135.489676,34.2941501,"","","",0,0,95,158,"かつらぎ町大字大谷868-1","","指定緊急避難場所","指定避難所",
"西飯降集会所","妙寺地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","","","","",77,135.526744,34.3063008,"","","",0,0,76,138,"かつらぎ町大字西飯降291-0","","指定緊急避難場所","指定避難所",
"西柏木会館","大谷地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","","","","",119,135.491597,34.3081981,"","","",0,0,72,136,"かつらぎ町大字柏木305-1","","指定緊急避難場所","指定避難所",
"西渋田児童館","西渋田地区","","かつらぎ町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆","","耐震　","","","","",53,135.472171,34.2783072,"","","",0,0,69,150,"かつらぎ町大字西渋田61-1","","指定緊急避難場所","指定避難所",
"新城農作業準備休養施設","新城地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆（注）","","耐震　","","","","",351,135.505303,34.1986272,"","","",0,0,60,99,"かつらぎ町大字新城879-1","","指定緊急避難場所","指定避難所",
"新子ふるさと村","上花園地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　大規模な火事","土砂災害予測地域　","☆（注）","","非耐震","有","○","","毛布",421,135.549937,34.13156,"","","",0,0,64,119,"かつらぎ町大字花園新子96-0","","指定緊急避難場所","指定避難所",
"渋田小学校","東渋田地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","非常食、非常飲料水、毛布",56,135.476385,34.2771307,"","","",0,0,187,380,"かつらぎ町大字東渋田152-0","","指定緊急避難場所","指定避難所",
"寺尾集会所","三谷地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　大規模な火事","土砂災害予測地域　","☆","","非耐震","","","","",68,135.495775,34.284698,"","","",0,0,72,136,"かつらぎ町大字寺尾207-0","","指定緊急避難場所","指定避難所",
"山崎児童館","三谷地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　大規模な火事","土砂災害予測地域　","☆（注）","","非耐震","","","","",194,135.534658,34.292488,"","","",0,0,69,114,"かつらぎ町大字山崎184-0","","","",
"高田児童館","高田地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　大規模な火事","","☆","","非耐震","","","","",68,135.44936,34.282619,"","","",0,0,90,150,"かつらぎ町大字高田67-2","","指定緊急避難場所","指定避難所",
"広野高齢者活動促進施設","短野地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆（注）","","耐震　","","","","",126,135.52181,34.3166982,"","","",0,0,60,100,"かつらぎ町大字短野210-1","","指定緊急避難場所","指定避難所",
"見好公民館","東渋田地区","","かつらぎ町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆☆","","非耐震","有","○","○","非常食、非常飲料水、毛布",55,135.477452,34.279964,"","","",0,0,156,281,"かつらぎ町大字東渋田50-0","","指定緊急避難場所","指定避難所",
"兄井集会所","三谷地区","","かつらぎ町","避難所を兼ねる避難場所","大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","非耐震","","","","",62,135.505724,34.288871,"","","",0,0,84,150,"かつらぎ町大字兄井243-0","","指定緊急避難場所","指定避難所",
"天野地域交流センター（ゆずり葉）","天野地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆","","耐震　","","","","",452,135.514563,34.2591611,"","","",0,0,677,1119,"かつらぎ町大字下天野930-0","","指定緊急避難場所","指定避難所",
"旧志賀小学校","志賀地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆","","耐震　","","","","",360,135.499458,34.2229129,"","","",0,0,240,488,"かつらぎ町大字志賀1214-0","","指定緊急避難場所","指定避難所",
"四邑公民館","四邑地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆","","耐震　","","","","",242,135.485779,34.257102,"","","",0,0,604,890,"かつらぎ町大字御所8-0","","指定緊急避難場所","指定避難所",
"三谷こども園","三谷地区","","かつらぎ町","避難所を兼ねる避難場所","地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆☆","","耐震　","","","","",56,135.518665,34.2910712,"","","",0,0,691,1724,"かつらぎ町大字三谷1650-0","","指定緊急避難場所","指定避難所",
"旧花園中学校","上花園","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆","","耐震　","有","○","","毛布",402,135.537252,34.1376874,"","","",0,0,516,1000,"かつらぎ町大字花園北寺189-0","","指定緊急避難場所","指定避難所",
"宮本集会所","中央部地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆","","耐震　","","","","",437,135.502974,34.270314,"","","",0,0,55,105,"かつらぎ町大字宮本13-0","","指定緊急避難場所","指定避難所",
"久木集会所","上花園地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆（注）","","耐震　","有","○","","毛布",650,135.572289,34.1507588,"","","",0,0,61,120,"かつらぎ町大字花園久木284-0","","指定緊急避難場所","指定避難所",
"紀北農芸高校","中飯降地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆","","耐震　","有","○","○","非常食、毛布",112,135.529279,34.3095366,"","","",0,0,688,1300,"かつらぎ町大字妙寺1781-0","","指定緊急避難場所","指定避難所",
"笠田東第１自治区西集会所","笠田東第１地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","","","","",56,135.477263,34.2890748,"","","",0,0,75,150,"かつらぎ町大字笠田東666-2","","指定緊急避難場所","指定避難所",
"笠田小学校","笠田東第１地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","有","○","○","非常食、非常飲料水、毛布",54,135.475261,34.2883528,"","","",0,0,269,3342,"かつらぎ町大字笠田東558-0","","指定緊急避難場所","指定避難所",
"移レストハウス","笠田西部地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆","","耐震　","","","","",86,135.455451,34.294695,"","","",0,0,72,120,"かつらぎ町大字移82-1","","指定緊急避難場所","指定避難所",
"はなぞの温泉「花圃の里」","下花園地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　内水氾濫　地震　大規模な火事","土砂災害予測地域　","☆","","耐震　","有","○","","毛布",400,135.519308,34.1386916,"","","",0,0,45,80,"かつらぎ町大字花園梁瀬779-0","","指定緊急避難場所","指定避難所",
"丁ノ町地域交流センター","丁ノ町地区、新田地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","","","","",63,135.5174899,34.29967046,"","","",0,0,150,249,"かつらぎ町大字丁ノ町459-1","","指定緊急避難場所","指定避難所",
"河南地域交流センター","中央部地区","","かつらぎ町","避難所を兼ねる避難場所","地震　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","","耐震　","","","","",70,135.493099,34.282349,"","","",0,0,84,163,"かつらぎ町大字東渋田667-1","","指定緊急避難場所","指定避難所",
"かつらぎ総合文化会館","丁ノ町地区、新田地区","","かつらぎ町","避難所を兼ねる避難場所","地震　大規模な火事","浸水予測地域　","☆☆☆","","耐震　","","","","",56,135.504915,34.2949374,"","","",0,0,1685,2782,"かつらぎ町大字丁ノ町2454-0","","指定緊急避難場所","指定避難所",
"窪ふるさと館","笠田西部地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","","","","",61,135.464017,34.28924,"","","",0,0,50,87,"かつらぎ町大字窪140-0","","指定緊急避難場所","指定避難所",
"萩原コミュニティセンター","笠田西部地区","","かつらぎ町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆","","耐震　","","","","",57,135.46627,34.2891957,"","","",0,0,84,139,"かつらぎ町大字萩原353-2","","指定緊急避難場所","指定避難所",
"背ノ山ふれあい会館","笠田西部地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆","","耐震　","","","","",54,135.458194,34.282374,"","","",0,0,56,94,"かつらぎ町大字背ノ山390-0","","指定緊急避難場所","指定避難所",
"新規作物地域ブランド定着施設","笠田中地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆","","耐震　","","","","",58,135.4696198,34.2978734,"","","",0,0,83,138,"かつらぎ町大字笠田中256-19","","指定緊急避難場所","指定避難所",
"笠田東第１自治区コミュニティセンター","笠田東第１地区","","かつらぎ町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆☆","","耐震　","","","","",58,135.480558,34.2911689,"","","",0,0,200,300,"かつらぎ町大字笠田東30-3","","指定緊急避難場所","指定避難所",
"笠田ふるさと交流館","笠田東第２地区","","かつらぎ町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆","","耐震　","有","○","○","非常食、非常飲料水、毛布",53,135.47864,34.2882136,"","","",0,0,339,560,"かつらぎ町大字笠田東396-3","","指定緊急避難場所","指定避難所",
"笠田公民館佐野分館","佐野地区、真和地区","","かつらぎ町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　大規模な火事","浸水予測地域　","☆","","非耐震","有","○","○","非常食、非常飲料水、毛布",56,135.48799,34.2954007,"","","",0,0,218,360,"かつらぎ町大字佐野551-0","","指定緊急避難場所","指定避難所",
"大谷公民館","大谷地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆","","耐震　","有","○","○","非常食、非常飲料水、毛布",63,135.494611,34.2982986,"","","",0,0,153,253,"かつらぎ町大字大谷288-4","","指定緊急避難場所","指定避難所",
"かつらぎ町地域福祉センター","丁ノ町地区、新田地区","","かつらぎ町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆","","耐震　","","","","",58,135.504271,34.2955487,"","","",0,0,392,647,"かつらぎ町大字丁ノ町2338-2","","指定緊急避難場所","指定避難所",
"ゆうゆうコミュニティホーム","妙寺地区","","かつらぎ町","避難所を兼ねる避難場所","崖崩れ・土石流及び地滑り　地震　大規模な火事","浸水予測地域　","☆","","耐震　","","","","",60,135.527995,34.3006949,"","","",0,0,88,191,"かつらぎ町大字妙寺146-2","","指定緊急避難場所","指定避難所",
"笠田高等学校","笠田東第１地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆☆","","耐震　","","","","",65,135.478247,34.2927388,"","","",0,0,1000,4000,"かつらぎ町大字笠田東825-0","","指定緊急避難場所","指定避難所",
"和歌山県農林大学校","中飯降地区","","かつらぎ町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　大規模な火事","","☆☆","","耐震　","","","","",95,135.529013,34.3082385,"","","",0,0,50,100,"かつらぎ町大字中飯降422-0","","指定緊急避難場所","指定避難所",
"","","","","","","","","","","","","","",,,,"","","",,,,,"","","","",
"","","","","","","","","","","","","","",,,,"","","",,,,,"","","","",
"","","","","","","","","","","","","","",,,,"","","",,,,,"","","","",
"","","","","","","","","","","","","","",,,,"","","",,,,,"","","","",津波浸水予測地域
