名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
熊野川生活改善センター,熊野川,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,156,135.3657650 ,33.9506580 ,,,,76,,25,,日高川町大字熊野川210-2,
極楽寺,佐井,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,82,135.2921770 ,33.9426260 ,,,,127,,42,,日高川町大字佐井171,
旧大星小学校,坂野川 老星 大又,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,,,,,,74,135.2919520 ,33.9285710 ,,,,499,5000,1833,,日高川町大字坂野川150,
旧川中第一小学校,田尻 小釜本,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,非耐震,,,,,80,135.3155550 ,33.9352470 ,,,,519,2400,973,,日高川町大字田尻234,
旧子十浦小学校,姉子 三十木 原日浦,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,,,,,,105,135.3265950 ,33.9737500 ,,,,491,4700,1730,,日高川町大字三十木155,
旧たちばな保育所,三佐,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,75,135.3109580 ,33.9256690 ,,,,201,,67,,日高川町大字三佐252-3,
旧あやめ保育所,本郷,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,非耐震,,,,,53,135.2886850 ,33.9614000 ,,,,278,,93,,日高川町大字高津尾121,
旧ＪＡ愛徳支所,愛口,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,166,135.3782540 ,33.9584100 ,,,,200,,67,,日高川町大字初湯川35-1,
吉子集会所,平川,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,39,135.2572370 ,33.9442250 ,,,,40,,13,,日高川町大字平川828-2,
観音寺,下滝本,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,46,135.2694640 ,33.9581080 ,,,,189,,63,,日高川町大字船津531,
寒川多目的施設,土居秋葉,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,,,,,,278,135.4655920 ,33.9539560 ,,,,672,5300,1990,,日高川町大字寒川137-1,
寒川診療所,土居梅原,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,304,135.4665950 ,33.9577640 ,,,,397,,132,,日高川町大字寒川297-1,
寒川共同会館,土居秋葉,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆☆,,非耐震,,,,,290,135.4687460 ,33.9557580 ,,,,1068,,356,,日高川町大字寒川228-1,
笠松小学校,平,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,有,○,,発電機・投光器・毛布,217,135.3859410 ,33.9615290 ,○,,○,476,4000,1492,,日高川町大字初湯川213-117,
笠松集会所,笠松,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,195,135.3873190 ,33.9558870 ,,,,80,,27,,日高川町大字初湯川526-1,
皆瀬公民館,皆瀬,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,139,135.3743910 ,33.9849420 ,,,,68,,23,,日高川町大字皆瀬547,
下平川集会所,平川,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,34,135.2360150 ,33.9356820 ,,,,30,,10,,日高川町大字平川175,
下江川集会所,江川,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,非耐震,,,,,20.2,135.2117570 ,33.8888330 ,,,,50,,17,,日高川町大字江川217,
下玄子集会所,玄子,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,26.4,135.2101290 ,33.9201010 ,,,,30,,10,,日高川町大字玄子125-1,
下越方集会所,下越方,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,耐震　,,,,,131,135.3575930 ,33.9685670 ,,,,33,,11,,日高川町大字皆瀬111,
伊佐の川集会所,伊佐の川,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,,,,,,123,135.2806810 ,33.9818540 ,,,,59,,20,,日高川町大字高津尾1243,
安楽寺,三佐,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,98,135.3136290 ,33.9282890 ,,,,124,,41,,日高川町大字三佐131,
愛徳荘,平,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,226,135.3863590 ,33.9593890 ,,,,1817,,606,,日高川町大字初湯川202,
愛川児童館,愛川,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,258,135.3864610 ,33.9813170 ,,,,68,,23,,日高川町大字愛川68-3,
