名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
土河屋集会所,土河屋,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆☆,,耐震　,,,,,90,135.7652333 ,33.8833694 ,,,,,,,,田辺市本宮町　土河屋234,
田辺東部小学校,新万 南新万  朝日ヶ丘 あけぼの 新庄町,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,○,,37,135.3990446 ,33.7304365 ,,,,2435,,738,,田辺市南新万28-1,橋谷地区からの避難を見込み新たに設定
田辺第二小学校,新屋敷町  湊  東陽 神子浜 末広 磯間 扇ヶ浜,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,津波浸水予測地域,☆☆☆,☆☆,耐震　,有,○,○,非常食・毛布・アルミマットなど,19,135.3842863 ,33.7266292 ,○,,○,930,,282,,田辺市東陽21-1,標高は屋上
田辺第三小学校,上の山 江川 古尾,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,○,非常食・毛布・アルミマットなど,18,135.3695564 ,33.7351915 ,○,,,1527,,463,,田辺市上の山２丁目6-10,
田辺第一小学校,上屋敷 中屋敷町 福路町 本町 紺屋町 片町 今福町,,,津波時は校舎３階,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,土砂災害予測地域　浸水予測地域　津波浸水予測地域,☆☆☆,☆☆,耐震　,有,○,○,非常食・毛布・アルミマットなど,16,135.3757010 ,33.7322755 ,○,,○,1650,,500,,田辺市上屋敷１丁目2-1,標高は屋上
田辺市文化交流センター（たなべる）,新屋敷町 東陽  末広 磯間 扇ヶ浜,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　,津波浸水予測地域,☆☆☆,,耐震　,有,○,,,6,135.3822220 ,33.7263890 ,,,,211,,64,,田辺市東陽31-1,
田辺市体育センター,芳養町,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,,毛布,31,135.3381139 ,33.7511798 ,,,,1138,,345,,田辺市芳養町115-1,
田辺市教育研究所,上屋敷 中屋敷町 新屋敷町,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　,津波浸水予測地域,☆☆☆,,,,,,,4.1,135.3772725 ,33.7287311 ,,,,273,,83,,田辺市中屋敷町24-1,
田辺高等学校,神子浜  文里  磯間 学園 東山,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,17,135.3893732 ,33.7238674 ,,,,2844,,862,,田辺市神子浜１丁目1,
田辺工業（高台グラウンド）,あけぼの  新庄町  東山,,,津波時は高台のグランド,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,津波浸水予測地域,☆☆☆,☆☆☆,耐震　,有,○,,毛布,12.5,135.3954272 ,33.7297289 ,,,,1204,,365,,田辺市あけぼの51-1,
天理教中紀大教会,目良 天神崎,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,土砂災害予測地域　浸水予測地域　,☆,☆☆☆,,有,○,○,毛布,31,135.3592657 ,33.7323724 ,,,,825,,250,,田辺市天神崎30-1,
長野中学校,長野  ,,,,田辺市,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　,☆☆☆,,耐震　,,,,,135,135.4466724 ,33.7670454 ,,,,1283,,389,,田辺市長野1401,
長野小学校,長野,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,78,135.4416239 ,33.7675131 ,,,,831,,252,,田辺市長野641,
中芳養幼稚園,中芳養,,,,田辺市,避難所を兼ねる避難場所,地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,有,○,,,24,135.3553716 ,33.7795884 ,,,,320,,97,,田辺市中芳養1870-1,
中芳養中学校,中芳養 芳養町,,,,田辺市,避難所を兼ねる避難場所,洪水　地震　津波,土砂災害予測地域　,☆,☆☆☆,耐震　,,,,,12.1,135.3591967 ,33.7645269 ,,,,1099,,333,,田辺市中芳養273-2,
中山路小学校,柳瀬,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,有,○,,,315,135.4726220 ,33.8817302 ,,,,933,,283,,田辺市龍神村　柳瀬-1,
竹薮多目的集会所,秋津川  ,,,,田辺市,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,224,135.4350005 ,33.8116019 ,,,,115,,35,,田辺市秋津川2090-1,
竹西集会所,下川下  ,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆,,,有,○,,発電機など,242,135.5622513 ,33.7460247 ,○,,○,46,,14,,田辺市下川下2080,
丹生ノ川振興館,丹生ノ川  ,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,,,,,451,135.5810161 ,33.9017044 ,,,,99,,30,,田辺市龍神村　丹生ノ川-1,
富里生活改善センター,富里,,,,田辺市,避難場所,崖崩れ・土石流及び地滑り,,☆☆☆,,,,,,,,135.5915570 ,33.7453942 ,,,,,,103,,田辺市下川下640-1,
三川生活改善センター,三川,,,,田辺市,避難場所,崖崩れ・土石流及び地滑り,,☆,,,,,,,,135.5697900 ,33.6879609 ,,,,,,95,,田辺市合川439-4,
長野町内会館（清瀧）,長野,,,,田辺市,避難場所,崖崩れ・土石流及び地滑り,土砂災害予測地域,☆（注）,,,,,,,,135.4438910 ,33.7672474 ,,,,,,66,,田辺市長野1315-13,
大坊小学校,芳養町,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,土砂災害予測地域　,☆,,,有,○,○,,178,135.3763230 ,33.7737062 ,○,,,161,,49,,田辺市芳養町3944,
大塔体育館,鮎川,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,土砂災害予測地域　,☆,,耐震　,,,,,44,135.4866401 ,33.7271748 ,,,,755,,229,,田辺市鮎川2588-2,
大塔ふくしかいかん,鮎川,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆☆,,耐震　,,,,,52,135.4836731 ,33.7292956 ,,,,326,,99,,田辺市鮎川583-9,
大居集会所,大居,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,68,135.7784194 ,33.8598333 ,,,,,,35,,田辺市本宮町　大居504,
切畑集会所,切畑,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,108,135.7631389 ,33.8708222 ,,,,,,25,,田辺市本宮町　切畑535,
請川山振センター,請川  ,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,77,135.7879527 ,33.8210669 ,,,,85,,26,,田辺市本宮町　請川297-4,
西牟婁総合庁舎,宝来町  新万  南新万 朝日ヶ丘 あけぼの 下万呂,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,,☆☆☆,☆☆☆,耐震　,,,,,52,135.3930155 ,33.7349738 ,,,,287,,87,,田辺市朝日ヶ丘23-1,
西部センター,天神崎 上の山,,,津波時は天神団地方面,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　,津波浸水予測地域,☆☆☆,,耐震　,有,○,,毛布,6,135.3620184 ,33.7335882 ,,,,254,,77,,田辺市天神崎11-19,
新庄幼稚園,新庄町,,,津波時は付近の高台,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　,土砂災害予測地域　浸水予測地域　津波浸水予測地域,☆☆,,耐震　,有,○,,毛布,12,135.4066966 ,33.7165951 ,,,,392,,119,,田辺市新庄町1437,
新庄中学校,新庄町,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,○,毛布・防水シートなど,24,135.4030614 ,33.7142119 ,○,,,2010,,609,,田辺市新庄町2266-2,
新庄第二小学校,新庄町,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,○,非常食・毛布・防水シートなど,24,135.3892912 ,33.6956406 ,○,,○,1488,,451,,田辺市新庄町3193,
新庄小学校,新庄町,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,,☆☆☆,☆☆☆,耐震　,有,○,○,非常食・毛布,15,135.4002220 ,33.7150441 ,,,,653,,198,,田辺市新庄町2300,
上廣井原集会所,廣井原  ,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,,,,,382,135.5419904 ,33.9329900 ,,,,59,,18,,田辺市龍神村　広井原-2,
上柳瀬多目的集会施設,柳瀬  ,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,309,135.4715117 ,33.8796886 ,,,,82,,25,,田辺市龍神村　柳瀬,
