"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"旧北小学校","彦ヶ瀬  瀬井  畦田","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆☆","☆☆☆","耐震化済　","","","","",0,135.2900489,34.1126253,"","","",0,0,50,100,"有田川町大字瀬井629-0","",""
"旧早月小学校体育館","延坂  西薗  尾上 小原","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震化済　","","","","備蓄品保管施設（２箇所）にて有り",0,135.317369,34.0825573,"","","",0,0,250,500,"有田川町大字尾上13-1","",""
"旧生石小学校体育館","生石","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","非耐震","","","","備蓄品保管施設（２箇所）にて有り",0,135.323217,34.0926324,"","","",0,0,100,200,"有田川町大字生石41-0","",""
"宮川地区集会所","宮川","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","非耐震","","","","",0,135.4326989,34.1016353,"","","",0,0,86,172,"有田川町大字宮川647-0","",""
"久野原小学校体育館","久野原","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","備蓄品保管施設（２箇所）にて有り",0,135.452381,34.0967547,"","","",0,0,280,560,"有田川町大字久野原1235-0","",""
"岩倉公民館","岩野河","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","☆","☆☆☆","耐震化済　","","","","",0,135.3198958,34.0530138,"","","",0,0,50,100,"有田川町大字川口1001-1","",""
"釜中地区集会所","釜中","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","非耐震","","","","",0,135.244371,34.09399,"","","",0,0,22,44,"有田川町大字釜中318-0","",""
"下湯川ふるさと村施設","下湯川","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","非耐震","","","","",0,135.4499231,34.0602406,"","","",0,0,50,100,"有田川町大字下湯川742-1","",""
"押手活性館","押手","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","","","","",0,135.507642,34.126345,"","","",0,0,22,44,"有田川町大字押手336-2","",""
"遠井コミュニティセンター","遠井","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","",0,135.399908,34.1087517,"","","",0,0,35,70,"有田川町大字遠井443-0","",""
"井谷コミュニティセンター","井谷  室川","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","",0,135.4805572,34.1118659,"","","",0,0,15,30,"有田川町大字井谷170-0","",""
"安諦中学校体育館","板尾","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震化済　","","","","",0,135.4938103,34.1204683,"","","",0,0,430,860,"有田川町大字板尾138-1","",""
"安諦地区基幹集落センター","板尾","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","","","","",0,135.490469,34.119272,"","","",0,0,60,120,"有田川町大字板尾219-3","",""
"粟生小学校体育館","粟生","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","","☆☆☆","耐震化済　","","","","",0,135.342068,34.0478534,"","","",0,0,260,520,"有田川町大字粟生429-0","",""
"粟生住民センター","粟生","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　浸水予測地域　","","☆☆☆","耐震　","","","","",0,135.343572,34.0481513,"","","",0,0,17,34,"有田川町大字粟生446-2","",""
"旧上六川小学校","上六川  黒松  西村","旧上六川小学校","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震化済　","","","","",0,135.2547344,34.09618,"","","",0,0,100,200,"有田川町大字上六川136-0","",""
"旧修理川小学校","修理川","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","",0,135.2911705,34.0327081,"","","",0,0,100,200,"有田川町大字修理川694-1","",""
"きび体育館","東丹生図  西丹生図  吉見 庄二 垣倉 畑浦","きび体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","浸水予測地域　","☆","☆☆☆","耐震化済　","","","","",0,135.2327501,34.0708258,"","","",0,0,750,1500,"有田川町大字庄814-0","",""
"きびドーム","高瀬","","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","土砂災害予測地域　","☆","☆☆☆","耐震　","","","","",0,135.217285,34.057422,"","","○",0,0,200,400,"有田川町大字下津野2021-0","",""
"吉備中学校体育館","一ッ松  植野 奥 土生 野田 小島 上中島","体育館","有田川町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","有","○","","",0,135.213431,34.0620864,"","","",0,0,1000,2000,"有田川町大字下津野1241-3","",""
